Monitor_ID,Latitude,Longitude,State,Location_type,Observed_NO2_ppb,Predicted_NO2_ppb,WRF+DOMINO,800m_Impervious_%,Elevation_truncated_km,800m_MajorRoads_km,100m_MinorRoads_km,Distance_to_coast_km
42-045-0002-42602-1,39.835556,-75.3725,Pennsylvania,Urban And Center City,15.6566228,14.78926229,12.71145821,23.1325,0.001,2.34791,0.18931,28.5
42-049-0003-42602-1,42.14175,-80.038611,Pennsylvania,Suburban,11.07335503,12.7103424,3.336705446,50.9831,0.198,2.72438,0.40897,566.8
42-063-0004-42602-1,40.56333,-78.919972,Pennsylvania,Rural,5.476218233,9.160073495,4.635556221,0,0.304,1.24328,0,317.2
42-069-2006-42602-1,41.442778,-75.623056,Pennsylvania,Suburban,10.39508724,12.13578403,4.284249783,39.233,0.257,0.09936,0.22045,203
42-071-0007-42602-1,40.046667,-76.283333,Pennsylvania,Suburban,12.95004048,13.4387561,6.945708752,40.3062,0.091,3.3404,0.22182,76
42-073-0015-42602-1,40.995848,-80.346442,Pennsylvania,Suburban,15.63719266,12.62609483,4.868793011,38.912,0.243,3.77284,0.02966,484.5
42-077-0004-42602-1,40.611944,-75.4325,Pennsylvania,Suburban,11.71536319,11.43724072,7.550597191,31.438,0.093,0,0,129.2
42-079-1101-42602-1,41.265556,-75.846389,Pennsylvania,Suburban,10.60403151,11.54066387,3.671141624,48.828,0.183,0,0.17964,207.8
42-091-0013-42602-1,40.112222,-75.309167,Pennsylvania,Suburban,14.47344973,14.48285142,10.43264008,40.7648,0.052,0,0.19823,67.6
42-095-0025-42602-1,40.628056,-75.341111,Pennsylvania,Suburban,12.34107903,12.10725826,7.673603058,38.3944,0.091,0,0,119.7
42-099-0301-42602-1,40.456944,-77.165556,Pennsylvania,Rural,3.345724032,7.732161093,4.073549271,0.34,0.219,0,0.03717,176.5
42-101-0004-42602-3,40.008889,-75.097778,Pennsylvania,Urban And Center City,20.72448624,19.81028383,13.80191517,64.3167,0.023,3.50782,0.25165,67.5
42-125-0005-42602-1,40.146667,-79.902222,Pennsylvania,Suburban,12.95750286,12.6038216,6.328440189,29.0551,0.244,2.79763,0,366.9
42-125-0200-42602-1,40.170556,-80.261389,Pennsylvania,Suburban,12.35911535,15.37739497,5.262301922,54.6263,0.304,0,0.56232,401.9
42-125-5001-42602-1,40.445278,-80.420833,Pennsylvania,Rural,5.580559575,10.78244292,6.509560108,4.3082,0.304,0,0.15066,439.1
42-129-0008-42602-1,40.304694,-79.505667,Pennsylvania,Suburban,11.28313394,12.35424741,6.399953365,21.5842,0.304,1.50608,0.01435,347.5
42-133-0008-42602-1,39.965278,-76.699444,Pennsylvania,Suburban,15.55828292,15.20637727,8.296843529,53.5101,0.137,0,0.28942,89.1
44-007-0012-42602-1,41.825556,-71.405278,Rhode Island,Urban And Center City,15.18352113,17.50420059,6.262434483,77.8552,0.03,6.8501,0.53461,3.4
45-003-0003-42602-2,33.342226,-81.788731,South Carolina,Suburban,3.375619311,5.964791136,1.381686926,9.7126,0.097,2.64718,0,155.6
45-011-0001-42602-2,33.320344,-81.465537,South Carolina,Rural,2.478909719,4.079215189,0.650277615,0,0.074,0,0.17695,131.2
45-019-0003-42602-2,32.882289,-79.977538,South Carolina,Urban And Center City,9.059472885,10.53299293,4.301615238,41.7565,0.008,1.27087,0.34677,15.5
45-019-0046-42602-1,32.941023,-79.657187,South Carolina,Rural,2.023582053,3.354645688,0.882697105,0,0,0,0.09786,0
45-045-0008-42602-1,34.838814,-82.402918,South Carolina,Urban And Center City,12.69931991,14.63358044,3.168937922,57.4804,0.294,3.18152,0.42561,359.1
45-045-0009-42602-1,34.899141,-82.31307,South Carolina,Suburban,9.917447104,11.32479719,2.87153697,39.6059,0.293,0,0.21657,361.9
45-079-0007-42602-1,34.093959,-80.962304,South Carolina,Suburban,11.81171694,7.772516377,3.057230711,20.8452,0.104,1.45927,0,210.2
45-079-0021-42602-1,33.81468,-80.781135,South Carolina,Rural,2.310875971,4.124838914,1.384692192,0,0.03,0,0.19351,167.5
46-033-0132-42602-3,43.5578,-103.4839,South Dakota,Rural,0.941135654,2.594796018,-1.202339053,0,0.304,0,0,2033.2
46-071-0001-42602-3,43.74561,-101.941218,South Dakota,Rural,1.148983407,3.920018964,-1.023019075,3.2533,0.304,1.45294,0.19665,2100.7
46-099-0007-42602-3,43.537626,-96.682001,South Dakota,Urban And Center City,5.329789804,8.987204604,0.315696716,55.2828,0.304,0,0.15843,1910.1
47-011-0102-42602-1,35.283164,-84.759371,Tennessee,Urban And Center City,10.83194192,7.232207912,2.672349691,1.2619,0.22,1.59433,0.17711,574.9
47-037-0011-42602-1,36.205,-86.744722,Tennessee,Urban And Center City,17.08444806,12.04852663,5.281549931,46.5432,0.154,1.29696,0.20627,730.3
47-063-0003-42602-1,36.307778,-83.134472,Tennessee,Rural,4.409041981,7.448393674,2.310991764,3.9019,0.304,1.00138,0,574.3
47-075-0003-42602-2,35.481744,-89.171163,Tennessee,Rural,2.097290093,3.563427581,1.171465635,0,0.091,0,0,632.1
